2452116.77700 18.855 0.074 6.13 717.0
2452128.66294 18.921 0.058 4.17 830.0
2452131.63897 19.037 0.070 4.42 811.0
2452135.54878 18.896 0.050 3.66 740.0
2452138.69663 18.819 0.069 6.59 573.0
2452143.61768 18.940 0.063 4.29 704.0
2452162.60978 18.872 0.062 5.15 647.0
2452170.51603 18.843 0.054 4.42 738.0
2452173.58999 18.775 0.068 5.17 847.0
2452183.53291 18.914 0.098 6.51 1070.0
2452184.58882 18.728 0.075 6.05 1027.0
2452195.57081 19.085 0.099 5.14 1236.0
2452200.54505 18.935 0.098 5.05 1444.0
2452326.87646 18.940 0.084 5.95 851.0
2452346.81954 18.933 0.063 4.61 789.0
2452360.82984 18.929 0.057 3.74 909.0
2452371.78653 18.949 0.056 4.09 769.0
2452380.79103 18.853 0.072 6.34 610.0
2452384.76303 18.967 0.061 4.29 747.0
2452388.76663 18.937 0.070 4.95 799.0
2452390.73650 18.885 0.081 5.44 1062.0
2452397.89483 18.959 0.069 3.96 946.0
2452401.69721 18.840 0.053 4.32 719.0
2452403.75846 18.967 0.051 3.52 669.0
2452405.69430 19.018 0.072 4.97 678.0
2452410.79348 19.087 0.063 4.25 678.0
2452415.69578 18.900 0.071 5.08 842.0
2452417.77301 18.873 0.067 4.77 858.0
2452425.86003 18.887 0.078 5.39 935.0
2452431.70717 18.967 0.074 5.37 732.0
2452433.68208 18.861 0.059 4.74 702.0
2452434.82794 18.978 0.060 3.90 780.0
2452436.61723 18.877 0.061 4.17 860.0
2452438.63287 18.935 0.059 4.52 668.0
2452440.61424 18.966 0.060 4.37 700.0
2452443.64911 18.867 0.066 5.25 702.0
2452445.54422 18.994 0.084 4.92 1016.0
2452452.61603 18.759 0.061 4.57 939.0
2452458.75200 18.926 0.063 5.15 592.0
2452462.66849 18.855 0.046 4.03 576.0
2452464.53586 18.893 0.073 5.17 879.0
2452467.46181 18.931 0.121 5.98 2032.0
2452469.47238 19.016 0.075 4.66 1023.0
2452471.76286 18.851 0.052 4.13 721.0
2452473.46102 18.841 0.095 5.40 1672.0
2452483.51577 18.918 0.052 3.98 712.0
2452485.71051 18.977 0.089 6.58 699.0
2452490.49245 18.914 0.062 4.84 766.0
2452492.72894 19.103 0.122 6.69 950.0
2452495.51993 18.842 0.067 5.28 803.0
2452497.58098 18.866 0.049 3.83 612.0
2452499.61825 18.833 0.053 4.17 690.0
2452501.64515 18.967 0.055 3.76 714.0
2452511.62418 19.005 0.095 5.60 936.0
2452518.57497 18.888 0.057 4.36 697.0
2452521.57089 18.863 0.055 4.30 765.0
2452535.49993 18.937 0.091 5.83 940.0
2452539.59638 18.932 0.077 4.75 1048.0
2452540.57449 18.931 0.093 5.73 1106.0
2452545.52638 18.993 0.069 4.07 898.0
2452550.56303 18.944 0.114 7.58 874.0
2452555.52547 18.953 0.086 5.16 949.0
2452561.54979 18.941 0.098 4.95 1528.0
2452571.49218 18.860 0.111 5.50 2022.0
2452701.88541 18.925 0.063 4.80 657.0
2452712.88261 18.924 0.064 4.94 654.0
2452727.84517 18.915 0.051 3.66 724.0
2452732.85910 18.996 0.074 5.39 677.0
2452743.85077 18.995 0.059 3.60 700.0
2452748.88249 18.881 0.094 5.81 1493.0
2452755.87323 18.906 0.065 4.82 773.0
2452759.86459 18.829 0.062 4.69 868.0
2452765.89102 18.860 0.059 4.12 873.0
2452769.93257 19.178 0.079 4.19 903.0
2452782.80453 18.969 0.091 6.62 805.0
2452784.79775 18.947 0.053 3.64 645.0
2452786.68835 18.840 0.074 5.34 933.0
2452788.84028 18.849 0.051 3.75 847.0
2452790.88687 18.959 0.068 4.27 823.0
2452792.53916 18.908 0.098 6.82 914.0
2452794.68055 18.829 0.068 6.03 670.0
2452796.61795 18.889 0.048 3.24 685.0
2452802.67512 18.817 0.072 5.08 911.0
2452808.72260 18.858 0.068 4.68 919.0
2452810.64133 18.853 0.058 4.38 751.0
2452812.61827 18.819 0.058 4.30 886.0
2452813.70724 18.843 0.059 5.18 592.0
2452815.64681 18.923 0.065 4.98 655.0
2452816.78195 19.071 0.078 5.15 713.0
2452817.79130 18.921 0.095 6.32 894.0
2452819.56609 18.964 0.065 3.76 967.0
2452821.55506 18.808 0.057 4.37 821.0
2452830.59072 18.830 0.131 5.48 2863.0
2452835.52265 19.107 0.111 4.36 1721.0
2452836.75073 19.030 0.084 4.10 1366.0
2452838.64704 18.830 0.068 5.39 771.0
2452840.57174 18.970 0.056 4.12 613.0
2452842.62203 18.966 0.066 4.72 697.0
2452844.68250 18.863 0.051 3.82 703.0
2452849.50739 18.732 0.071 5.64 949.0
2452851.61198 18.912 0.060 4.42 709.0
2452853.62264 18.948 0.056 4.08 677.0
2452856.50045 18.906 0.071 5.08 811.0
2452858.47210 18.814 0.082 4.57 1659.0
2452859.53723 18.768 0.091 4.17 2350.0
2452860.59087 18.912 0.088 4.43 1728.0
2452863.67789 18.817 0.071 4.23 1310.0
2452867.58418 18.915 0.063 4.81 692.0
2452870.66241 19.012 0.064 4.02 772.0
2452874.65093 18.933 0.078 5.72 756.0
2452878.54303 18.908 0.052 3.65 693.0
2452884.61447 18.910 0.071 4.65 868.0
2452893.64224 18.867 0.053 3.31 1035.0
2452896.50503 18.934 0.074 4.66 856.0
2452901.52059 18.786 0.078 5.75 860.0
2452906.64514 18.910 0.081 5.63 912.0
2452910.64012 18.821 0.103 7.08 1049.0
2452912.62451 19.066 0.100 5.44 1100.0
2452924.54778 18.865 0.063 3.75 1187.0
2452934.56464 18.863 0.084 4.96 1156.0
2452942.52539 18.912 0.080 4.49 1402.0
2453048.86478 18.937 0.065 3.96 1028.0
2453056.89746 18.859 0.097 5.20 1457.0
2453060.89891 18.948 0.073 4.42 1060.0
2453066.89227 18.802 0.053 4.42 661.0
2453069.84490 19.037 0.083 5.40 772.0
2453071.85250 18.978 0.065 3.82 907.0
2453074.84012 18.842 0.053 3.95 784.0
2453076.87738 18.930 0.072 4.52 935.0
2453078.88694 19.040 0.104 3.83 2313.0
2453081.78737 19.010 0.059 3.96 742.0
2453083.90634 18.850 0.050 4.07 684.0
2453086.73320 18.863 0.048 3.76 690.0
2453088.73687 18.968 0.056 4.13 644.0
2453090.83635 18.793 0.050 4.28 543.0
2453092.81157 18.948 0.085 7.14 550.0
2453097.77434 18.957 0.083 5.77 838.0
2453099.76862 18.802 0.098 7.55 807.0
2453101.71076 18.903 0.104 6.27 1247.0
2453103.71482 18.796 0.078 5.15 1217.0
2453106.74065 18.922 0.100 3.61 2839.0
2453107.85392 18.742 0.063 3.87 1289.0
2453109.69058 18.947 0.062 4.49 770.0
2453110.70124 19.025 0.080 5.09 994.0
2453112.70172 18.873 0.061 4.98 655.0
2453113.74490 18.823 0.043 3.89 519.0
2453114.91916 19.029 0.062 3.94 757.0
2453115.74204 18.798 0.051 4.35 678.0
2453118.72710 18.983 0.085 5.90 794.0
2453122.75316 19.055 0.094 6.60 647.0
2453124.92969 18.829 0.091 6.26 1050.0
2453126.66871 18.965 0.064 4.68 747.0
2453127.67073 18.930 0.065 4.30 856.0
2453128.68917 18.937 0.064 3.84 920.0
2453129.66857 18.872 0.067 3.85 1050.0
2453130.83103 18.737 0.077 4.96 1317.0
2453131.83050 18.915 0.095 4.63 1651.0
2453134.63782 18.925 0.080 4.21 1414.0
2453135.70410 18.834 0.062 5.00 723.0
2453138.91599 19.080 0.084 5.01 797.0
2453139.69994 18.862 0.049 4.56 537.0
2453140.66744 18.905 0.052 3.68 671.0
2453141.83111 18.781 0.047 4.66 530.0
2453144.66336 18.971 0.062 4.96 570.0
2453145.73116 18.770 0.055 5.44 537.0
2453151.62013 18.996 0.095 6.68 709.0
2453152.62905 18.850 0.053 4.30 625.0
2453153.63045 18.909 0.071 5.48 717.0
2453153.92100 18.987 0.083 5.11 970.0
2453154.70666 18.886 0.070 5.62 663.0
2453156.61479 18.818 0.079 5.65 963.0
2453158.65524 18.787 0.082 4.75 1576.0
2453162.67238 18.902 0.056 3.98 792.0
2453163.59063 18.906 0.054 4.12 585.0
2453163.91201 18.884 0.076 4.38 1281.0
2453164.58406 18.850 0.048 3.92 581.0
2453165.58380 18.958 0.059 4.73 632.0
2453166.79461 18.940 0.094 6.43 824.0
2453167.80928 18.987 0.076 5.56 697.0
2453168.62489 18.937 0.064 5.58 540.0
2453169.59517 18.911 0.049 3.31 695.0
2453170.69007 18.859 0.048 4.24 550.0
2453171.60801 18.926 0.057 4.53 592.0
2453172.59775 18.830 0.045 3.90 560.0
2453174.58374 18.972 0.050 3.34 730.0
2453174.90287 18.942 0.065 3.89 1041.0
2453175.58500 18.957 0.051 3.44 724.0
2453176.61095 18.972 0.071 5.25 588.0
2453178.64681 19.004 0.069 5.10 662.0
2453179.67120 18.953 0.063 5.40 547.0
2453180.54577 18.832 0.053 4.17 736.0
2453182.58015 18.960 0.068 5.49 618.0
2453182.61936 18.858 0.061 5.26 619.0
2453183.55290 18.935 0.061 4.32 722.0
2453183.58301 18.879 0.047 4.01 528.0
2453184.56303 18.934 0.051 3.83 630.0
2453184.83348 18.761 0.057 4.54 794.0
2453185.64670 18.818 0.051 3.68 779.0
2453191.86234 18.897 0.079 5.17 1068.0
2453193.73397 18.925 0.070 5.91 580.0
2453194.71271 19.004 0.061 4.27 643.0
2453195.51827 18.873 0.057 4.25 660.0
2453196.51663 18.939 0.094 6.44 868.0
2453197.75237 18.987 0.063 4.50 669.0
2453199.55227 18.881 0.070 6.34 537.0
2453202.61213 18.973 0.083 6.27 661.0
2453203.55617 18.876 0.043 3.58 577.0
2453205.55275 18.968 0.051 4.42 501.0
2453206.53475 18.845 0.047 4.40 529.0
2453207.53772 18.790 0.069 6.56 588.0
2453210.76534 18.857 0.065 5.29 754.0
2453211.52418 18.989 0.070 5.54 604.0
2453212.51913 18.740 0.074 6.53 766.0
2453217.52961 18.936 0.065 3.62 1223.0
2453218.52697 18.979 0.083 4.88 1062.0
2453223.51835 19.006 0.095 6.98 712.0
2453224.53381 18.860 0.054 3.93 748.0
2453226.48873 19.067 0.075 5.24 624.0
2453229.49730 18.819 0.044 3.63 678.0
2453230.53731 18.944 0.052 4.07 601.0
2453239.64588 18.871 0.062 5.16 665.0
2453241.53331 19.062 0.078 4.97 772.0
2453244.63181 18.982 0.125 5.04 2063.0
2453246.53395 18.800 0.061 5.08 767.0
2453248.54162 18.942 0.069 4.70 693.0
2453250.52649 18.792 0.054 4.58 681.0
2453251.67023 18.904 0.069 5.78 662.0
2453254.52880 18.941 0.071 5.81 602.0
2453257.66628 18.911 0.055 4.43 669.0
2453262.50063 18.955 0.089 5.90 888.0
2453262.50988 18.807 0.078 6.43 881.0
2453262.58721 18.854 0.060 4.53 763.0
2453263.62892 18.868 0.066 5.49 655.0
2453264.50589 18.949 0.068 4.69 783.0
2453266.49131 18.941 0.091 6.08 800.0
2453268.52670 18.821 0.059 4.26 784.0
2453270.55802 18.890 0.121 5.33 2251.0
2453273.58002 19.029 0.106 5.78 1034.0
2453277.56680 19.165 0.101 4.74 1049.0
2453279.56138 18.843 0.080 6.06 768.0
2453285.48437 18.921 0.120 5.62 1910.0
2453287.48561 18.912 0.087 6.25 905.0
2453291.54411 18.819 0.075 7.05 516.0
2453431.88373 18.814 0.045 3.65 663.0
2453438.88190 18.766 0.058 5.62 591.0
2453444.81855 18.977 0.045 3.45 575.0
2453446.84351 18.900 0.064 5.63 560.0
2453448.87314 18.841 0.045 4.03 552.0
2453450.91220 18.976 0.058 4.50 545.0
2453454.81906 18.706 0.069 5.52 982.0
2453456.82668 18.867 0.050 3.54 832.0
2453467.79008 19.151 0.085 6.26 507.0
2453469.90052 18.893 0.043 3.39 583.0
2453471.77723 19.004 0.092 7.08 615.0
2453473.93121 18.843 0.089 4.77 1549.0
2453477.89043 18.892 0.049 3.82 540.0
2453480.68925 19.028 0.054 4.47 556.0
2453483.68411 18.740 0.049 3.85 928.0
2453496.88802 18.780 0.066 5.36 819.0
2453497.65132 19.013 0.085 5.86 771.0
2453499.69366 18.882 0.047 4.23 524.0
2453500.88024 18.907 0.050 3.84 679.0
2453501.68520 18.908 0.067 5.62 692.0
2453502.84215 18.985 0.055 3.73 688.0
2453503.84379 18.889 0.053 4.29 582.0
2453504.67960 18.890 0.055 4.54 529.0
2453508.69371 18.856 0.071 5.91 683.0
2453509.83168 18.911 0.049 4.08 587.0
2453511.71681 18.897 0.057 4.40 683.0
2453512.66794 18.972 0.072 5.02 824.0
2453520.56815 18.925 0.074 5.41 927.0
2453521.81892 18.899 0.057 3.89 764.0
2453522.81445 18.976 0.065 4.60 658.0
2453523.63746 18.956 0.056 4.67 497.0
2453524.62161 18.907 0.049 4.28 483.0
2453525.85300 18.850 0.053 4.34 613.0
2453526.88611 19.026 0.062 4.18 686.0
2453527.79925 18.973 0.064 4.97 593.0
2453528.62962 18.944 0.051 4.03 520.0
2453529.58686 19.166 0.060 3.72 579.0
2453530.72141 18.940 0.041 3.18 529.0
2453538.78967 18.960 0.049 3.95 597.0
2453544.68977 18.884 0.098 4.17 2330.0
2453547.72862 18.916 0.071 5.86 581.0
2453550.70435 18.831 0.039 3.51 520.0
2453551.81687 19.106 0.073 5.20 582.0
2453553.61961 18.981 0.069 5.46 562.0
2453554.57507 19.050 0.096 6.45 730.0
2453556.58362 18.963 0.061 5.04 576.0
2453558.55349 18.943 0.060 4.56 662.0
2453559.77008 18.877 0.047 3.99 522.0
2453560.74209 18.936 0.054 4.39 492.0
2453561.70269 18.796 0.040 3.69 533.0
2453562.76630 18.970 0.050 3.70 584.0
2453563.51575 18.873 0.060 5.08 584.0
2453564.71950 19.008 0.076 6.58 438.0
2453569.80314 18.861 0.082 5.06 1143.0
2453573.50243 18.755 0.094 7.21 948.0
2453574.56492 18.932 0.058 4.29 629.0
2453574.72630 18.817 0.056 4.38 767.0
2453575.55339 18.702 0.036 3.23 588.0
2453576.51164 18.778 0.050 4.75 591.0
2453577.56402 18.968 0.052 4.32 492.0
2453578.53738 18.843 0.040 3.92 413.0
2453579.49574 18.793 0.042 4.06 510.0
2453580.51142 18.950 0.052 4.27 576.0
2453581.54114 18.970 0.056 4.06 608.0
2453582.49993 18.926 0.055 4.29 615.0
2453583.53962 19.160 0.068 4.39 570.0
2453584.52576 18.957 0.051 4.40 483.0
2453585.51635 18.869 0.047 4.13 574.0
2453586.57467 18.897 0.047 3.78 502.0
2453587.63075 18.866 0.064 5.71 537.0
2453589.52603 18.847 0.044 3.62 536.0
2453590.50608 18.958 0.051 4.06 540.0
2453591.55098 19.072 0.049 3.23 538.0
2453592.51737 18.816 0.047 3.86 626.0
2453593.61289 18.855 0.053 4.69 530.0
2453594.54825 18.929 0.046 4.36 509.0
2453600.54509 18.852 0.107 4.71 2392.0
2453601.47743 18.795 0.055 3.73 1016.0
2453602.50246 18.626 0.062 5.37 848.0
