   54044.052175   -1398.7727    1079.4827   -1394.1104    1079.6562    0.3205
   54044.160766   -1701.6159    1061.3343   -1742.6853    1061.5285    0.2851
   54052.823657    5249.8865    1420.6087    5157.2031    1420.9350    0.3937
   54053.143086    6038.2456    1435.7914    5828.3968    1436.2342    0.3822
   54056.018647    1602.2613    1035.3958    1585.4014    1035.5711    0.2824
   54056.986806    8483.9123    1433.5300    8443.8734    1433.7905    0.7974
   54057.070076    2825.7411    1148.6700    2814.8449    1148.8516    0.4474
   54057.839803   10492.4924    1426.0910   10390.9993    1426.3750    0.6311
   54062.025685   10000.3834    1275.4875    9947.8328    1275.7949    0.9150
   54062.816959   10017.6346    1415.5834   10003.2333    1415.8583    0.9103
   54063.030891   10465.6434    1414.0483   10462.1849    1414.3122    0.8108
   54067.920162      65.3814     564.8467      63.5117     564.9244    0.0231
   54068.951911   10271.3708    1423.4314   10234.6451    1423.6414    0.9481
   54069.071971    3631.0702    1213.2658    3620.3278    1213.4471    0.5847
   54069.985316    2615.5177    1212.6898    2559.0807    1212.9362    0.2988
   54070.975053    5394.4315    1157.1512    5365.4982    1157.3432    0.5659
   54071.947659    6394.1258    1294.5038    6322.2079    1294.7314    0.5497
   54072.062691    1787.6039     836.9676    1764.7189     837.0947    0.1986
   54073.024805   -1821.9219     950.0892   -1829.1184     950.2213    0.2623
   54073.995071    3920.9302    1404.5387    3861.3376    1404.7788    0.4781
   54075.936159    8790.1555    1413.6198    8723.4711    1413.9434    0.7730
   54077.016146    3644.8357    1322.0448    3642.4639    1322.2267    0.5353
   54083.926384    7787.6361    1418.6926    7791.2737    1418.8941    0.8570
   54091.008425   12268.9674    1362.1391   12271.0989    1362.3526    0.8903
   54098.870853    6680.6485    1228.6175    6675.9188    1228.8015    0.7396
   54100.015071    3625.2781    1208.9746    3590.4208    1209.1581    0.5330
   54100.861408   13293.5279    1286.2560   13294.9047    1286.5049    0.9358
   54103.964556   14747.6141    1444.6628   14733.1972    1444.8872    0.9687
   54104.874304    7835.1312    1021.9690    7802.1813    1022.1493    0.7184
   54105.920547   15225.8418    1432.1266   15146.6375    1432.3829    0.7911
   54106.868027   10915.0433    1284.5742   10745.0613    1284.8691    0.6059
   54106.962727   12017.2361    1386.4026   11987.3560    1386.6130    0.8083
   54108.964487   10109.1881    1391.7404   10085.1793    1391.9894    0.8442
   54109.870530    5468.1558     679.6124    5476.1022     679.7487    0.5969
   54110.831717   15022.1198    1435.4101   15014.0414    1435.6669    0.9580
   54113.832469    9625.8958    1401.0965    9613.1132    1401.3047    0.8831
   54113.945998    2537.0536    1329.3216    2525.6523    1329.5026    0.5107
   54114.830617   14650.0424    1333.4085   14623.3668    1333.7123    0.9542
   54116.835981   12004.0670    1381.8830   11959.8071    1382.1719    0.9140
   54120.835376     627.6278     936.1217     608.9424     936.2706    0.1570
   54121.877940    9115.5855    1343.0897    9144.0789    1343.3059    0.8419
   54122.832745    7861.8490    1369.0732    7821.5910    1369.3898    0.6110
   54124.835989    5438.8180    1422.1419    5422.8592    1422.3095    0.6736
   54139.849848    9389.6378    1328.3778    9414.7338    1328.6375    0.6696
   54143.859836   12661.7209    1313.6303   12667.6346    1313.8467    0.9057
   54153.864041   11235.4726    1427.1228   11222.5064    1427.3521    0.8599
   54327.069268   10525.0562    1424.7381   10567.5571    1424.9649    0.8576
   54327.176723    2594.1927    1117.4420    2581.7160    1117.6408    0.3805
   54328.172537    8719.9567    1436.2529    8722.9832    1436.5734    0.7012
   54329.014104    6285.0685    1280.7176    6303.8231    1280.9570    0.5856
   54329.160452    7491.6980    1222.1282    7497.9102    1222.3736    0.8805
   54330.109365    1866.6569     961.8457    1871.8821     962.0519    0.5711
   54331.185644   -3038.1452     918.2079   -3054.7579     918.3465    0.8032
   54332.005887    5112.9712    1203.7269    5124.1491    1203.9316    0.7757
   54332.079042    2589.7933     768.3636    2618.1079     768.5054    0.6293
   54332.212436    5578.9612    1443.0961    5604.1893    1443.3414    0.8590
   54333.028561    3564.4169    1384.6461    3566.6142    1384.8515    0.6277
   54333.141334    1783.3875    1089.2143    1801.0456    1089.4894    0.4337
   54333.219809     142.0443     445.3036     155.1387     445.4160    0.1232
   54334.011969    1786.0827    1462.8881    1771.5818    1463.2083    0.3975
   54334.076988     296.5936    1075.6112     295.5263    1075.8901    0.0853
   54334.151855    -494.0257     757.4765    -488.0878     757.6919    0.2224
   54335.030782   -1257.4399     944.3568   -1284.5255     944.5624    0.2607
   54335.093246   -9147.9241    1437.6943   -9192.5024    1437.9877    0.9151
   54335.206386   -6152.6115    1257.2117   -6237.6477    1257.4952    0.6848
   54336.086550   -7689.0862     837.2491   -7791.6015     837.5575    0.7660
   54336.151581  -13140.5312    1415.4818  -13306.7688    1415.9096    0.7599
   54337.991166  -34867.4412    1378.2622  -35021.5948    1378.7064    0.9543
   54338.098563  -35443.8679    1477.7779  -36078.2428    1478.5204    0.8259
   54338.220432  -30027.0376    1425.1856  -30482.4496    1425.7267    0.8096
   54339.081801  -17818.4415    1312.8823  -18024.8684    1313.2129    0.7657
   54339.132267  -11754.6825    1220.1305  -11938.4382    1220.4236    0.5801
   54340.191186   -5044.1257     676.3088   -5119.5542     676.5582    0.7172
   54342.107974   -1431.2138     452.2487   -1434.0830     452.4086    0.5922
   54342.165531    5055.4783     824.2082    2633.3103     824.9398    0.0296
   54344.144538     -77.2429    1310.8365     -63.7727    1311.1366    0.0161
   54358.038062   -4561.0883     657.9401   -4629.8132     658.1744    0.6695
   54358.071695  -11465.2396    1445.8306  -11519.1167    1446.1668    0.7700
   54358.135919   -3834.4974     523.3365   -3884.7747     523.5291    0.7211
   54359.083823   -3916.8180    1107.2309   -3956.0051    1107.5736    0.5199
   54359.138207   -1640.6696     567.5115   -1659.8963     567.6725    0.3965
   54359.919368    -752.8955     923.8679    -744.8672     924.0787    0.2023
   54359.996993   -2095.6434     902.8353   -2114.8545     903.0571    0.3917
   54360.211783   -1187.8568     571.8092   -1209.4045     571.9682    0.3850
   54360.887610   -1765.8791    1432.6770   -1779.8912    1432.9473    0.2847
   54361.160972   -9680.4643     907.6707   -9764.0128     907.9346    0.7449
   54361.216848   -7754.1003    1440.9173   -7847.1785    1441.2602    0.6860
   54361.860825      -0.0000         -nan       0.0000         -nan      -nan
   54361.948813   -5842.4035     709.5654   -5915.3312     709.7838    0.6962
   54362.169117  -14374.8578    1402.8179  -14462.3294    1403.1722    0.8838
   54362.880633   -6606.3215     809.0474   -6680.9417     809.3445    0.7489
   54363.010028   -1526.7585     240.3354   -1572.7178     240.4503    0.4555
   54363.099807  -10996.4361    1299.2181  -11071.6756    1299.5832    0.8283
   54363.233566   -6110.9664    1402.5347   -6145.9362    1402.7850    0.7730
   54363.867530   -3175.8899     474.7827   -3253.1193     474.9792    0.5781
   54363.922113   -6161.5694     974.8734   -6223.1642     975.1672    0.6868
   54364.044786   -5256.8577     623.6089   -5342.1681     623.8646    0.6889
   54364.160226   -1365.4226     252.5624   -1406.0288     252.6748    0.4635
   54368.041842     574.2647    1422.7050     597.7373    1422.9611    0.1458
